OGNTsort	Español
001534	inmediatamente
001535	habiendo dejado completamente
001536	las
001537	redes
001538	siguieron
001539	a él
001540	Y
001541	habiendo dado pasos hacia adelante
001542	desde allí
001543	vio
001544	a otros
001545	dos
001546	hermanos
001547	a Jacobo
001548	el
001549	de el
001550	Zebedeo
001551	y
001552	a Juan
001553	el
001554	hermano
001555	de él
001556	en
001557	la
001558	barca
001559	con
001560	Zebedeo
001561	el
001562	padre
001563	de ellos
001564	estando ajustando (alineando) hacia abajo
001565	las
001566	redes
001567	de ellos
001568	y
001569	llamó
001570	a ellos
001571	Los
001572	pero
001573	inmediatamente
001574	habiendo dejado completamente
001575	la
001576	barca
001577	y
001578	a el
001579	padre
001580	de ellos
001581	siguieron
001582	a él
001583	Y
001584	estaba yendo alrededor
001585	en
001586	entera
001587	la
001588	Galilea
001589	estando enseñando
001590	en
001591	las
001592	sinagogas
001593	de ellos
001594	y
001595	estando predicando
001596	la
001597	buena noticia
001598	de el
001599	reino
001600	y
001601	estando curando
001602	toda
001603	enfermedad
001604	y
001605	toda
001606	suavidad
001607	en
001608	el
001609	pueblo
001610	Y
001611	vino desde
001612	el
001613	oído
001614	de él
001615	hacia dentro
001616	entera
001617	la
001618	Siria
001619	y
001620	llevaron hacia
001621	él
001622	a todos
001623	los
001624	malamente
001625	estando teniendo
001626	varias
001627	enfermedades
001628	y
001629	tormentos
001630	estando siendo afligidos
001631	y
001632	estando endemoniados
001633	y
001634	estando heridos por la luna
001635	y
001636	paralíticos
001637	y
001638	curó
001639	a ellos
001640	Y
001641	siguieron
001642	a él
001643	muchedumbres
001644	muchas
001645	desde
001646	la
001647	Galilea
001648	y
001649	de Decápolis
001650	y
001651	de Jerusalén
001652	y
001653	de Judea
001654	y
001655	del otro lado de
001656	el
001657	Jordán
001658	Habiendo visto
001659	pero
001660	a las
001661	muchedumbres
001662	dio pasos hacia arriba
001663	hacia dentro
001664	a la
001665	montaña
001666	y
001667	habiendo sentado
001668	de él
001669	vinieron hacia
001670	él
001671	los
001672	aprendices
001673	de él
001674	Y
001675	habiendo abierto
001676	la
001677	boca
001678	de él
001679	estaba enseñando
001680	a ellos
001681	estando diciendo
001682	Dichosos
001683	los
001684	pobres
001685	a el
001686	espíritu
001687	porque
001688	de ellos
001689	está siendo
001690	el
001691	reino
001692	de los
001693	cielos
001694	Dichosos
001695	los
001696	estando lamentando
001697	porque
001698	ellos
001699	serán consolados
001700	Dichosos
001701	los
001702	apacibles
001703	porque
001704	ellos
001705	heredarán
001706	la
001707	tierra
001708	Dichosos
001709	los
001710	estando teniendo hambre
001711	y
001712	estando teniendo sed
001713	(de) la
001714	justicia
001715	porque
001716	ellos
001717	serán saciados
001718	Dichosos
001719	los
001720	misericordiosos
001721	porque
001722	(a) ellos
001723	se les mostrará misericordia
001724	Dichosos
001725	los
001726	limpios
001727	(de) el
001728	corazón
001729	porque
001730	ellos
001731	a el
001732	Dios
001733	verán
001734	Dichosos
001735	los
001736	pacificadores
001737	porque
001738	ellos
001739	hijos
001740	de Dios
001741	serán llamados
001742	Dichosos
001743	los (que)
001744	han sido perseguidos
001745	en cuenta de
001746	justicia
001747	porque
001748	de ellos
001749	está siendo
001750	el
001751	reino
001752	de los
001753	cielos
001754	Dichosos
001755	están siendo
001756	cuando
001757	vituperen
001758	a ustedes
001759	y
001760	persigan
001761	y
001762	digan
001763	toda clase de
001764	(cosa) mala
001765	hacia abajo
001766	(a) ustedes
001767	estando mintiendo
001768	en cuenta de
001769	mí
001770	Estén regocijando
001771	y
001772	salten mucho
001773	porque
001774	el
001775	galardón
001776	de ustedes
001777	mucho
001778	en
001779	los
001780	cielos
001781	así
001782	porque
001783	persiguieron
001784	a los
001785	voceros
001786	los
001787	antes
001788	de ustedes
001789	Ustedes
001790	están siendo
001791	la
001792	sal
001793	de la
001794	tierra
001795	si alguna vez
001796	pero
001797	la
001798	sal
001799	sea hecha simple
001800	¿en
001801	qué
001802	será hecha salada?
001803	Hacia dentro
001804	nada
001805	está teniendo fuerza
001806	ya
001807	si
001808	no
001809	habiendo sido arrojada
001810	afuera
001811	estar siendo pisoteada
001812	por
001813	los
001814	hombres
001815	Ustedes
001816	están siendo
001817	la
001818	luz
001819	de el
001820	mundo
001821	no
001822	está siendo capaz
001823	ciudad
001824	ser escondida
001825	por encima de
001826	montaña
001827	estando yaciendo
001828	Ni
001829	están haciendo arder
001830	lámpara
001831	y
001832	están poniendo
001833	a ella
001834	debajo
