OGNTsort	extendedStrNo	RMAC	SpanishDescription
104978	G26	N-DSF	SustaNtivo, Dativo, Singular, Femenino
104979	G4704	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
104980	G5083	V-PAN	Verbo, Presente, Activa, iNfinitivo
104981	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
104982	G1775	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
104983	G3588	T-GSN	(T) artículo determinado, Genitivo, Singular, Neutro
104984	G4151	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
104985	G1722	PREP	PREPosición
104986	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
104987	G4886	N-DSM	SustaNtivo, Dativo, Singular, Masculino
104988	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
104989	G1515	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
104990	G1520	A-NSN	Adjetivo, Nominativo, Singular, Neutro
104991	G4983	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
104992	G2532	CONJ	CONJunción o partícula cunjuntiva
104993	G1520	A-NSN	Adjetivo, Nominativo, Singular, Neutro
104994	G4151	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
104995	G2531	CONJ	CONJunción o partícula cunjuntiva
104996	G2532	CONJ	CONJunción o partícula cunjuntiva
104997	G2564	V-API-2P	Verbo, Aoristo, Pasivo, Indicativo, (2) segunda, Plural
104998	G1722	PREP	PREPosición
104999	G1520	A-DSF	Adjetivo, Dativo, Singular, Femenino
105000	G1680	N-DSF	SustaNtivo, Dativo, Singular, Femenino
105001	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
105002	G2821	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
105003	G4771	P-2GP	pronombre Personal, (2) segunda, Genitivo, Plural
105004	G1520	A-NSM	Adjetivo, Nominativo, Singular, Masculino
105005	G2962	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
105006	G1520	A-NSF	Adjetivo, Nominativo, Singular, Femenino
105007	G4102	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105008	G1520	A-NSN	Adjetivo, Nominativo, Singular, Neutro
105009	G908	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
105010	G1520	A-NSM	Adjetivo, Nominativo, Singular, Masculino
105011	G2316	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
105012	G2532	CONJ	CONJunción o partícula cunjuntiva
105013	G3962	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
105014	G3956	A-GPM	Adjetivo, Genitivo, Plural, Masculino
105015	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
105016	G1909	PREP	PREPosición
105017	G3956	A-GPM	Adjetivo, Genitivo, Plural, Masculino
105018	G2532	CONJ	CONJunción o partícula cunjuntiva
105019	G1223	PREP	PREPosición
105020	G3956	A-GPM	Adjetivo, Genitivo, Plural, Masculino
105021	G2532	CONJ	CONJunción o partícula cunjuntiva
105022	G1722	PREP	PREPosición
105023	G3956	A-DPM	Adjetivo, Dativo, Plural, Masculino
105024	G1520	A-DSM	Adjetivo, Dativo, Singular, Masculino
105025	G1161	CONJ	CONJunción o partícula cunjuntiva
105026	G1538	A-DSM	Adjetivo, Dativo, Singular, Masculino
105027	G1473	P-1GP	pronombre Personal, (1) primera, Genitivo, Plural
