OGNTsort	extendedStrNo	RMAC	SpanishDescription
075697	G2532	CONJ	CONJunción o partícula cunjuntiva
075698	G4345	V-API-3P	Verbo, Aoristo, Pasivo, Indicativo, (3) tercera, Plural
075699	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
075700	G3972	N-DSM-P	SustaNtivo, Dativo, Singular, Masculino, Persona
075701	G2532	CONJ	CONJunción o partícula cunjuntiva
075702	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
075703	G4609	N-DSM-P	SustaNtivo, Dativo, Singular, Masculino, Persona
075704	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
075705	G5037	CONJ	CONJunción o partícula cunjuntiva
075706	G4576	V-PNP-GPM	Verbo, Presente, depoNente medio o pasivo, Participio, Genitivo, Plural, Masculino
075707	G1672	N-GPM-LG	SustaNtivo, Genitivo, Plural, Masculino, (LG) Gentilicio de Localización
075708	G4128	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
075709	G4183	A-NSN	Adjetivo, Nominativo, Singular, Neutro
075710	G1135	N-GPF	SustaNtivo, Genitivo, Plural, Femenino
075711	G5037	CONJ	CONJunción o partícula cunjuntiva
075712	G3588	T-GPF	(T) artículo determinado, Genitivo, Plural, Femenino
075713	G4413	A-GPF	Adjetivo, Genitivo, Plural, Femenino
075714	G3756	PRT-N	PaRTícula, Negativo
075715	G3641	A-NPF	Adjetivo, Nominativo, Plural, Femenino
075716	G2206	V-AAP-NPM	Verbo, Aoristo, Activa, Participio, Nominativo, Plural, Masculino
075717	G1161	CONJ	CONJunción o partícula cunjuntiva
075718	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
075719	G2453	A-NPM-PG	Adjetivo, Nominativo, Plural, Masculino, (PG) Gentilicio de Persona
075720	G2532	CONJ	CONJunción o partícula cunjuntiva
075721	G4355	V-2AMP-NPM	Verbo, (2A) Aoristo segundo, Media, Participio, Nominativo, Plural, Masculino
075722	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
075723	G60	A-GPM	Adjetivo, Genitivo, Plural, Masculino
075724	G435	N-APM	SustaNtivo, Acusativo, Plural, Masculino
075725	G5100	X-APM	(X) pronombre indefinido, Acusativo, Plural, Masculino
075726	G4190	A-APM	Adjetivo, Acusativo, Plural, Masculino
075727	G2532	CONJ	CONJunción o partícula cunjuntiva
075728	G3792	V-AAP-NPM	Verbo, Aoristo, Activa, Participio, Nominativo, Plural, Masculino
075729	G2350	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075730	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
075731	G4172	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075732	G2532	CONJ	CONJunción o partícula cunjuntiva
075733	G2186	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
075734	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
075735	G3614	N-DSF	SustaNtivo, Dativo, Singular, Femenino
075736	G2394	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
075737	G2212	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075738	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
075739	G4254	V-2AAN	Verbo, (2A) Aoristo segundo, Activa, iNfinitivo
075740	G1519	PREP	PREPosición
075741	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075742	G1218	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
075743	G3361	PRT-N	PaRTícula, Negativo
075744	G2147	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
075745	G1161	CONJ	CONJunción o partícula cunjuntiva
075746	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
075747	G4951	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075748	G2394	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075749	G2532	CONJ	CONJunción o partícula cunjuntiva
075750	G5100	X-APM	(X) pronombre indefinido, Acusativo, Plural, Masculino
075751	G80	N-APM	SustaNtivo, Acusativo, Plural, Masculino
075752	G1909	PREP	PREPosición
075753	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
075754	G4173	N-APM	SustaNtivo, Acusativo, Plural, Masculino
075755	G994	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
075756	G3754	CONJ	CONJunción o partícula cunjuntiva
075757	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
075758	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
075759	G3625	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075760	G387	V-AAP-NPM	Verbo, Aoristo, Activa, Participio, Nominativo, Plural, Masculino
075761	G3778	D-NPM	pronombre Demostrativo, Nominativo, Plural, Masculino
075762	G2532	CONJ	CONJunción o partícula cunjuntiva
075763	G1759	ADV	ADVerbio o adverbio y partícula combinados
075764	G3918	V-PAI-3P	Verbo, Presente, Activa, Indicativo, (3) tercera, Plural
075765	G3739	R-APM	pronombre Relativo, Acusativo, Plural, Masculino
075766	G5264	V-RNI-3S	Verbo, peRfecto, depoNente medio o pasivo, Indicativo, (3) tercera, Singular
075767	G2394	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
075768	G2532	CONJ	CONJunción o partícula cunjuntiva
075769	G3778	D-NPM	pronombre Demostrativo, Nominativo, Plural, Masculino
075770	G3956	A-NPM	Adjetivo, Nominativo, Plural, Masculino
075771	G561	PREP	PREPosición
075772	G3588	T-GPN	(T) artículo determinado, Genitivo, Plural, Neutro
075773	G1378	N-GPN	SustaNtivo, Genitivo, Plural, Neutro
075774	G2541	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
075775	G4238	V-PAI-3P	Verbo, Presente, Activa, Indicativo, (3) tercera, Plural
075776	G935	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
075777	G2087	A-ASM	Adjetivo, Acusativo, Singular, Masculino
075778	G3004	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
075779	G1510	V-PAN	Verbo, Presente, Activa, iNfinitivo
075780	G2424	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075781	G5015	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
075782	G1161	CONJ	CONJunción o partícula cunjuntiva
075783	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075784	G3793	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
075785	G2532	CONJ	CONJunción o partícula cunjuntiva
075786	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
075787	G4173	N-APM	SustaNtivo, Acusativo, Plural, Masculino
075788	G191	V-PAP-APM	Verbo, Presente, Activa, Participio, Acusativo, Plural, Masculino
075789	G3778	D-APN	pronombre Demostrativo, Acusativo, Plural, Neutro
075790	G2532	CONJ	CONJunción o partícula cunjuntiva
075791	G2983	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
075792	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
075793	G2425	A-ASN	Adjetivo, Acusativo, Singular, Neutro
075794	G3844	PREP	PREPosición
075795	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
075796	G2394	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
075797	G2532	CONJ	CONJunción o partícula cunjuntiva
075798	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
075799	G3062	A-GPM	Adjetivo, Genitivo, Plural, Masculino
075800	G630	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
075801	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
075802	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
075803	G1161	CONJ	CONJunción o partícula cunjuntiva
075804	G80	N-NPM	SustaNtivo, Nominativo, Plural, Masculino
075805	G2112	ADV	ADVerbio o adverbio y partícula combinados
075806	G1223	PREP	PREPosición
075807	G3571	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
075808	G1599	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
075809	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075810	G5037	CONJ	CONJunción o partícula cunjuntiva
075811	G3972	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075812	G2532	CONJ	CONJunción o partícula cunjuntiva
075813	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075814	G4609	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075815	G1519	PREP	PREPosición
075816	G960	N-ASF-L	SustaNtivo, Acusativo, Singular, Femenino, Localización
075817	G3748	R-NPM	pronombre Relativo, Nominativo, Plural, Masculino
075818	G3854	V-2ADP-NPM	Verbo, (2A) Aoristo segundo, Deponente medio, Participio, Nominativo, Plural, Masculino
075819	G1519	PREP	PREPosición
075820	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
075821	G4864	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075822	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
075823	G2453	A-GPM-PG	Adjetivo, Genitivo, Plural, Masculino, (PG) Gentilicio de Persona
075824	G549	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075825	G3778	D-NPM	pronombre Demostrativo, Nominativo, Plural, Masculino
075826	G1161	CONJ	CONJunción o partícula cunjuntiva
075827	G1510	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075828	G2104	A-NPM-C	Adjetivo, Nominativo, Plural, Masculino, Comparativo
075829	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
075830	G1722	PREP	PREPosición
075831	G2332	N-DSF-L	SustaNtivo, Dativo, Singular, Femenino, Localización
075832	G3748	R-NPM	pronombre Relativo, Nominativo, Plural, Masculino
075833	G1209	V-ADI-3P	Verbo, Aoristo, Deponente medio, Indicativo, (3) tercera, Plural
075834	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075835	G3056	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
075836	G3326	PREP	PREPosición
075837	G3956	A-GSF	Adjetivo, Genitivo, Singular, Femenino
075838	G4288	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
075839	G2596	PREP	PREPosición
075840	G2250	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075841	G350	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
075842	G3588	T-APF	(T) artículo determinado, Acusativo, Plural, Femenino
075843	G1124	N-APF	SustaNtivo, Acusativo, Plural, Femenino
075844	G1487	PRT	PaRTícula, partícula disyuntiva
075845	G2192	V-PAO-3S	Verbo, Presente, Activa, Optativo, (3) tercera, Singular
075846	G3778	D-NPN	pronombre Demostrativo, Nominativo, Plural, Neutro
075847	G3779	ADV	ADVerbio o adverbio y partícula combinados
075848	G4183	A-NPM	Adjetivo, Nominativo, Plural, Masculino
075849	G3303	PRT	PaRTícula, partícula disyuntiva
075850	G3767	CONJ	CONJunción o partícula cunjuntiva
075851	G1537	PREP	PREPosición
075852	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
075853	G4100	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
075854	G2532	CONJ	CONJunción o partícula cunjuntiva
075855	G3588	T-GPF	(T) artículo determinado, Genitivo, Plural, Femenino
075856	G1674	N-GPF-LG	SustaNtivo, Genitivo, Plural, Femenino, (LG) Gentilicio de Localización
075857	G1135	N-GPF	SustaNtivo, Genitivo, Plural, Femenino
075858	G3588	T-GPF	(T) artículo determinado, Genitivo, Plural, Femenino
075859	G2158	A-GPF	Adjetivo, Genitivo, Plural, Femenino
075860	G2532	CONJ	CONJunción o partícula cunjuntiva
075861	G435	N-GPM	SustaNtivo, Genitivo, Plural, Masculino
075862	G3756	PRT-N	PaRTícula, Negativo
075863	G3641	A-NPM	Adjetivo, Nominativo, Plural, Masculino
075864	G5613	CONJ	CONJunción o partícula cunjuntiva
075865	G1161	CONJ	CONJunción o partícula cunjuntiva
075866	G1097	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
075867	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
075868	G575	PREP	PREPosición
075869	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
075870	G2332	N-GSF-L	SustaNtivo, Genitivo, Singular, Femenino, Localización
075871	G2453	A-NPM-PG	Adjetivo, Nominativo, Plural, Masculino, (PG) Gentilicio de Persona
075872	G3754	CONJ	CONJunción o partícula cunjuntiva
075873	G2532	CONJ	CONJunción o partícula cunjuntiva
075874	G1722	PREP	PREPosición
075875	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
075876	G960	N-DSF-L	SustaNtivo, Dativo, Singular, Femenino, Localización
075877	G2605	V-2API-3S	Verbo, (2A) Aoristo segundo, Pasivo, Indicativo, (3) tercera, Singular
075878	G5259	PREP	PREPosición
075879	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
075880	G3972	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
075881	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
075882	G3056	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
075883	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
075884	G2316	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
075885	G2064	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
075886	G2546	ADV-K	ADVerbio, Kai
075887	G4531	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
075888	G2532	CONJ	CONJunción o partícula cunjuntiva
075889	G5015	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
075890	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
075891	G3793	N-APM	SustaNtivo, Acusativo, Plural, Masculino
075892	G2112	ADV	ADVerbio o adverbio y partícula combinados
075893	G1161	CONJ	CONJunción o partícula cunjuntiva
075894	G5119	ADV	ADVerbio o adverbio y partícula combinados
075895	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075896	G3972	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075897	G1821	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
075898	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
075899	G80	N-NPM	SustaNtivo, Nominativo, Plural, Masculino
075900	G4198	V-PNN	Verbo, Presente, depoNente medio o pasivo, iNfinitivo
075901	G2193	PREP	PREPosición
075902	G1909	PREP	PREPosición
075903	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
075904	G2281	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075905	G5278	V-AAI-3P	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Plural
075906	G5037	CONJ	CONJunción o partícula cunjuntiva
075907	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
075908	G5037	CONJ	CONJunción o partícula cunjuntiva
075909	G4609	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
075910	G2532	CONJ	CONJunción o partícula cunjuntiva
075911	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
075912	G5095	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
075913	G1563	ADV	ADVerbio o adverbio y partícula combinados
075914	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
075915	G1161	CONJ	CONJunción o partícula cunjuntiva
075916	G2525	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
075917	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075918	G3972	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075919	G71	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
075920	G2193	PREP	PREPosición
075921	G116	N-GPF-L	SustaNtivo, Genitivo, Plural, Femenino, Localización
075922	G2532	CONJ	CONJunción o partícula cunjuntiva
075923	G2983	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
075924	G1785	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075925	G4314	PREP	PREPosición
075926	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075927	G4609	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075928	G2532	CONJ	CONJunción o partícula cunjuntiva
075929	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
075930	G5095	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
075931	G2443	ADV	ADVerbio o adverbio y partícula combinados
075932	G5613	ADV	ADVerbio o adverbio y partícula combinados
075933	G5036	A-APN	Adjetivo, Acusativo, Plural, Neutro
075934	G2064	V-2AAS-3P	Verbo, (2A) Aoristo segundo, Activa, Subjuntivo, (3) tercera, Plural
075935	G4314	PREP	PREPosición
075936	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
075937	G1826	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075938	G1722	PREP	PREPosición
075939	G1161	CONJ	CONJunción o partícula cunjuntiva
075940	G3588	T-DPF	(T) artículo determinado, Dativo, Plural, Femenino
075941	G116	N-DPF-L	SustaNtivo, Dativo, Plural, Femenino, Localización
075942	G1551	V-PNP-GSM	Verbo, Presente, depoNente medio o pasivo, Participio, Genitivo, Singular, Masculino
075943	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
075944	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
075945	G3972	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
075946	G3947	V-IPI-3S	Verbo, Imperfecto, Pasivo, Indicativo, (3) tercera, Singular
075947	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
075948	G4151	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
075949	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
075950	G1722	PREP	PREPosición
075951	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
075952	G2334	V-PAP-GSM	Verbo, Presente, Activa, Participio, Genitivo, Singular, Masculino
075953	G2712	A-ASF	Adjetivo, Acusativo, Singular, Femenino
075954	G1510	V-PAP-ASF	Verbo, Presente, Activa, Participio, Acusativo, Singular, Femenino
075955	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
075956	G4172	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075957	G1256	V-INI-3S	Verbo, Imperfecto, depoNente medio o pasivo, Indicativo, (3) tercera, Singular
075958	G3303	PRT	PaRTícula, partícula disyuntiva
075959	G3767	CONJ	CONJunción o partícula cunjuntiva
075960	G1722	PREP	PREPosición
075961	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
075962	G4864	N-DSF	SustaNtivo, Dativo, Singular, Femenino
075963	G3588	T-DPM	(T) artículo determinado, Dativo, Plural, Masculino
075964	G2453	A-DPM-PG	Adjetivo, Dativo, Plural, Masculino, (PG) Gentilicio de Persona
075965	G2532	CONJ	CONJunción o partícula cunjuntiva
075966	G3588	T-DPM	(T) artículo determinado, Dativo, Plural, Masculino
075967	G4576	V-PNP-DPM	Verbo, Presente, depoNente medio o pasivo, Participio, Dativo, Plural, Masculino
075968	G2532	CONJ	CONJunción o partícula cunjuntiva
075969	G1722	PREP	PREPosición
075970	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
075971	G58	N-DSF	SustaNtivo, Dativo, Singular, Femenino
075972	G2596	PREP	PREPosición
075973	G3956	A-ASF	Adjetivo, Acusativo, Singular, Femenino
075974	G2250	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
075975	G4314	PREP	PREPosición
075976	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
075977	G3909	V-PAP-APM	Verbo, Presente, Activa, Participio, Acusativo, Plural, Masculino
075978	G5100	X-NPM	(X) pronombre indefinido, Nominativo, Plural, Masculino
075979	G1161	CONJ	CONJunción o partícula cunjuntiva
075980	G2532	CONJ	CONJunción o partícula cunjuntiva
075981	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
075982	G1946	N-GPM-T	SustaNtivo, Genitivo, Plural, Masculino, Título
075983	G2532	CONJ	CONJunción o partícula cunjuntiva
075984	G4770	A-GPM	Adjetivo, Genitivo, Plural, Masculino
075985	G5386	N-GPM	SustaNtivo, Genitivo, Plural, Masculino
075986	G4820	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075987	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
075988	G2532	CONJ	CONJunción o partícula cunjuntiva
075989	G5100	X-NPM	(X) pronombre indefinido, Nominativo, Plural, Masculino
075990	G3004	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
075991	G5101	I-ASN	pronombre Interrogativo, Acusativo, Singular, Neutro
075992	G302	PRT	PaRTícula, partícula disyuntiva
075993	G2309	V-PAO-3S	Verbo, Presente, Activa, Optativo, (3) tercera, Singular
075994	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
075995	G4691	A-NSM	Adjetivo, Nominativo, Singular, Masculino
075996	G3778	D-NSM	pronombre Demostrativo, Nominativo, Singular, Masculino
075997	G3004	V-PAN	Verbo, Presente, Activa, iNfinitivo
075998	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
075999	G1161	CONJ	CONJunción o partícula cunjuntiva
076000	G3581	A-GPN	Adjetivo, Genitivo, Plural, Neutro
076001	G1140	N-GPN	SustaNtivo, Genitivo, Plural, Neutro
076002	G1380	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
076003	G2604	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
076004	G1510	V-PAN	Verbo, Presente, Activa, iNfinitivo
076005	G3754	CONJ	CONJunción o partícula cunjuntiva
076006	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
076007	G2424	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
076008	G2532	CONJ	CONJunción o partícula cunjuntiva
076009	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
076010	G386	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
076011	G2097	V-IMI-3S	Verbo, Imperfecto, Media, Indicativo, (3) tercera, Singular
076012	G1949	V-2ADP-NPM	Verbo, (2A) Aoristo segundo, Deponente medio, Participio, Nominativo, Plural, Masculino
076013	G5037	CONJ	CONJunción o partícula cunjuntiva
076014	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
076015	G1909	PREP	PREPosición
076016	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
076017	G697	N-ASM-L	SustaNtivo, Acusativo, Singular, Masculino, Localización
076018	G697	N-ASM-L	SustaNtivo, Acusativo, Singular, Masculino, Localización
076019	G71	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
076020	G3004	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
076021	G1410	V-PNI-1P	Verbo, Presente, depoNente medio o pasivo, Indicativo, (1) primera, Plural
076022	G1097	V-2AAN	Verbo, (2A) Aoristo segundo, Activa, iNfinitivo
076023	G5101	I-NSF	pronombre Interrogativo, Nominativo, Singular, Femenino
076024	G3588	T-NSF	(T) artículo determinado, Nominativo, Singular, Femenino
076025	G2537	A-NSF	Adjetivo, Nominativo, Singular, Femenino
076026	G3778	D-NSF	pronombre Demostrativo, Nominativo, Singular, Femenino
076027	G3588	T-NSF	(T) artículo determinado, Nominativo, Singular, Femenino
076028	G5259	PREP	PREPosición
076029	G4771	P-2GS	pronombre Personal, (2) segunda, Genitivo, Singular
076030	G2980	V-PPP-NSF	Verbo, Presente, Pasivo, Participio, Nominativo, Singular, Femenino
076031	G1322	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
076032	G3579	V-PAP-APN	Verbo, Presente, Activa, Participio, Acusativo, Plural, Neutro
076033	G1063	CONJ	CONJunción o partícula cunjuntiva
076034	G5100	X-APN	(X) pronombre indefinido, Acusativo, Plural, Neutro
076035	G1533	V-PAI-2S	Verbo, Presente, Activa, Indicativo, (2) segunda, Singular
076036	G1519	PREP	PREPosición
076037	G3588	T-APF	(T) artículo determinado, Acusativo, Plural, Femenino
076038	G189	N-APF	SustaNtivo, Acusativo, Plural, Femenino
076039	G1473	P-1GP	pronombre Personal, (1) primera, Genitivo, Plural
076040	G1014	V-PNI-1P	Verbo, Presente, depoNente medio o pasivo, Indicativo, (1) primera, Plural
076041	G3767	CONJ	CONJunción o partícula cunjuntiva
076042	G1097	V-2AAN	Verbo, (2A) Aoristo segundo, Activa, iNfinitivo
076043	G5101	I-NPN	pronombre Interrogativo, Nominativo, Plural, Neutro
076044	G2309	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
076045	G3778	D-NPN	pronombre Demostrativo, Nominativo, Plural, Neutro
076046	G1510	V-PAN	Verbo, Presente, Activa, iNfinitivo
076047	G117	A-NPM	Adjetivo, Nominativo, Plural, Masculino
076048	G1161	CONJ	CONJunción o partícula cunjuntiva
076049	G3956	A-NPM	Adjetivo, Nominativo, Plural, Masculino
076050	G2532	CONJ	CONJunción o partícula cunjuntiva
076051	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
076052	G1927	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
076053	G3581	A-NPM	Adjetivo, Nominativo, Plural, Masculino
076054	G1519	PREP	PREPosición
076055	G3762	A-ASN	Adjetivo, Acusativo, Singular, Neutro
076056	G2087	A-ASN	Adjetivo, Acusativo, Singular, Neutro
076057	G2119	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
076058	G2228	CONJ	CONJunción o partícula cunjuntiva
076059	G3004	V-PAN	Verbo, Presente, Activa, iNfinitivo
076060	G5100	X-ASN	(X) pronombre indefinido, Acusativo, Singular, Neutro
076061	G2228	CONJ	CONJunción o partícula cunjuntiva
076062	G191	V-PAN	Verbo, Presente, Activa, iNfinitivo
076063	G5100	X-ASN	(X) pronombre indefinido, Acusativo, Singular, Neutro
076064	G2537	A-ASN-C	Adjetivo, Acusativo, Singular, Neutro, Comparativo
076065	G2476	V-APP-NSM	Verbo, Aoristo, Pasivo, Participio, Nominativo, Singular, Masculino
076066	G1161	CONJ	CONJunción o partícula cunjuntiva
076067	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
076068	G3972	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
076069	G1722	PREP	PREPosición
076070	G3319	A-DSN	Adjetivo, Dativo, Singular, Neutro
076071	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
076072	G697	N-GSM-L	SustaNtivo, Genitivo, Singular, Masculino, Localización
076073	G697	N-GSM-L	SustaNtivo, Genitivo, Singular, Masculino, Localización
076074	G5346	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
076075	G435	N-VPM	SustaNtivo, Vocativo, Plural, Masculino
